genres,id,Place,vote_average,vote_count,Place,Name of City,Cat1,keywords
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 10751, ""name"": ""Parks""}, {""id"": 14, ""name"": ""Museums""}]",2454,Kalapathar Beach,6.3,1630,Kalapathar Beach,Andaman & Nicobar Islands,Nature & Parks,"Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher."
"[{""id"": 878, ""name"": ""Zoos & Aquariums""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}]",24428,Corbyn's Cove,7.4,11776,Corbyn's Cove,Andaman & Nicobar Islands,Nature & Parks,A hefty homeboy borrows his dad's Mercedes and goes to the beach with his friends for wild sun &amp; fun.
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 14, ""name"": ""Museums""}]",1865,Wandoor Beach,6.4,4948,Wandoor Beach,Andaman & Nicobar Islands,Nature & Parks,The story of five teenage girls who form an unlikely bond after beating up a teacher who has sexually harassed them. They build a solid friendship but their wild ways begin to get out of control.
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 35, ""name"": ""Science Museums""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",41154,Ross and Smith Island,6.2,4160,Ross and Smith Island,Andaman & Nicobar Islands,Nature & Parks,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}]",122917,Green Ocean Ferry,7.1,4760,Green Ocean Ferry,Andaman & Nicobar Islands,Transportation,"A grouchy couple are parents to a very sweet girl, Matilda. Unlike her bratty brother and mean parents, Matilda becomes a very sweet and extremely intelligent 6 year old girl, who is very keen to go to school and read books. After a while, her parents send her to school with the worst principal in the world, a very sweet teacher, and good friends. While trying to put up with her parents' and principal's cruelty, she starts to unwittingly unleash telekinetic powers, destroying a television and making a newt fly onto the principal. With enough practice, Matilda starts to learn to control her telekinetic powers and soon using them on her principal so she can drive her away from the school."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}]",1930,Limestone Caves,6.5,6586,Limestone Caves,Andaman & Nicobar Islands,Nature & Parks,"Emma Woodhouse is a congenial young lady who delights in meddling in other people’s affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}]",20662,Chatham Saw Mill,6.2,1398,Chatham Saw Mill,Andaman & Nicobar Islands,Sights & Landmarks,"After Ashe and his little son are murdered violently for no reason by Judah's men, he returns from the dead to take revenge. One after one, Judah's people face the power of the dark angel. The second film based on James O'Barr's cult comic."
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}]",57158,Anthropological Museum,7.6,4524,Anthropological Museum,Andaman & Nicobar Islands,Museums,"High-schooler Grover Beindorf and his younger sister Stacy decide that their parents, Janet and Ned, are acting childishly when they decide to divorce after 18 years of marriage, so they lock them up in the basement until they'll sort out their problems. Their school friends also decide to do the same with their parents to solve their respective problems"
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}]",2268,Govind Nagar Beach,5.8,1303,Govind Nagar Beach,Andaman & Nicobar Islands,Nature & Parks,Professor Genessier is guilt-stricken after his daughter's face is disfigured in a car accident. He intends to rebuild his daughter's face via grafting skin tissue; he only needs a supply of donors to experiment on.
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 18, ""name"": ""Islands""}, {""id"": 28, ""name"": ""Nature & Parks""}]",254,Marina Park and Aquarium,6.6,2337,Marina Park and Aquarium,Andaman & Nicobar Islands,Zoos & Aquariums,"Private eye Rafe Guttman is hired by repressed, born-again Katherine to find her missing bad-boy brother. The trail leads him to a whorehouse run by a thousand-year-old vampire and secretly backed by Katherine's boss, televangelist Jimmy Current."
"[{""id"": 18, ""name"": ""Islands""}, {""id"": 10749, ""name"": ""Shopping""}, {""id"": 53, ""name"": ""Historic Sites""}]",597,Mount Harriet National Park,7.5,7562,Mount Harriet National Park,Andaman & Nicobar Islands,Nature & Parks,"This film tells two interwoven stories of two single-parent families in a poor, racially-mixed neighborhood in Brooklyn. The first story is about a young black man (with aspirations of getting away from his friends who are involved in drugs) who falls in love with a latino girl (who is heading off to college on a full scholarship). The second is about their parents, (she works in the neighborhood liquor store; he works for the phone company). The story takes place against the backdrop of a winning lottery ticket worth $27 million being sold to someone in the neighborhood from the liquor store."
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",271110,Mangrove Forest,7.1,7241,Mangrove Forest,Andaman & Nicobar Islands,Nature & Parks,"This Chinese melodrama presents an allegory tinged with feminism with it’s portrayal of life and free enterprise in a modern, liberalized Chinese mountain village. Wanglai is the shady town grocer who steals stones from the Great Wall to sell as souvenirs."
"[{""id"": 53, ""name"": ""Historic Sites""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",44833,Jogger's Park,5.5,2114,Jogger's Park,Andaman & Nicobar Islands,Nature & Parks,
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}, {""id"": 53, ""name"": ""Historic Sites""}]",135397,Phoenix Bay Jetty,6.5,8662,Phoenix Bay Jetty,Andaman & Nicobar Islands,Nature & Parks,"The same situation is played out in different cities (New York, Berlin and Japan). A lover has to choose whether to commit to a partner who is returning home. In each case there are other people involved, an ex-partner and someone else in a ""permanent"" relationship, what do they choose to do?"
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 53, ""name"": ""Historic Sites""}]",37724,Red Skin Island,6.9,7604,Red Skin Island,Andaman & Nicobar Islands,Nature & Parks,"Benny, a hapless grifter, is thrown off a train after cheating at cards, and into the life of Tanya, a lovely bartender. Tanya has been supporting her husband, a former ballplayer, since his accident, waiting for an insurance settlement that will solve all their financial woes. But when it comes, he refuses to share it with her, claiming with newfound piety that money is the root of all evil. She then enlists the help of Benny to concoct a scheme to get her fair share of the settlement, and he finds one: a local Catholic mission needs money for repairs and Benny decides to create a miracle that will encourage husband Henry to fork over the money - which Benny and Tanya will intercept and share."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}]",558,Kalapani Museum,6.7,4321,Kalapani Museum,Andaman & Nicobar Islands,History Museums,"Percy, upon being released from prison, goes to the small town of Gillead, to find a place where she can start over again. She is taken in by Hannah, to help out at her place, the Spitfire Grill. Percy brings change to the small town, stirring resentment and fear in some, and growth in others."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",68721,Munda Pahad Beach,6.8,8806,Munda Pahad Beach,Andaman & Nicobar Islands,Beaches,"This time, a cataclysmic temblor hits Los Angeles, turning it into an island. The president views the quake as a sign from above, expels Los Angeles from the country and makes it a penal colony for those found guilty of moral crimes. When his daughter, part of a resistance movement, steals the control unit for a doomsday weapon, Snake again gets tapped to save the day."
"[{""id"": 10751, ""name"": ""Parks""}, {""id"": 14, ""name"": ""Museums""}, {""id"": 12, ""name"": ""Sights & Landmarks""}]",12155,Vijaynagar Beach,6.4,4645,Vijaynagar Beach,Andaman & Nicobar Islands,Beaches,Follows a young cyclo (bicycle cab) driver on his poverty-driven descent into criminality in modern-day Ho Chi Minh City. The boy's struggles to scratch out a living for his two sisters and grandfather in the mean streets of the city lead to petty crime on behalf of a mysterious Madame from whom he rents his cyclo.
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}, {""id"": 53, ""name"": ""Historic Sites""}]",36668,Khurmadera beach,6.3,3525,Khurmadera beach,Andaman & Nicobar Islands,Beaches,"Director Julian Schnabel illustrates the portrait of his friend, the first African-American Pop artist Jean-Michel Basquiat who unfortunately died at a young age and just as he was beginning to make a name for himself in the art world. Alongside the biography of Basquiat are the artists and the art scene from early 1980’s New York."
"[{""id"": 16, ""name"": ""Points of Interest & Landmarks""}, {""id"": 10751, ""name"": ""Parks""}]",62211,Government Ferry,7,3528,Government Ferry,Andaman & Nicobar Islands,Ferries,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.
"[{""id"": 878, ""name"": ""Zoos & Aquariums""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}]",8373,Inglis Island,6,3138,Inglis Island,Andaman & Nicobar Islands,Islands,"Young John Anderson is captivated by jazz musician, Billy Cross when he performs on the remote airstrip of his Western Australian outback hometown after his plane is diverted. Years later, now a family man and making a meagre living tracking dingoes and playing trumpet in a local band, John still dreams of joining Billy on trumpet and makes a pilgrimage to Paris."
"[{""id"": 878, ""name"": ""Zoos & Aquariums""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}]",91314,Cellular Jail,5.8,3095,Cellular Jail,Andaman & Nicobar Islands,Historic Sites,"In Kabuki style, the film tells the story of a remote mountain village where the scarcity of food leads to a voluntary but socially-enforced policy in which relatives carry 70-year-old family members up Narayama mountain to die. Granny Orin is approaching 70, content to embrace her fate. Her widowed son Tatsuhei cannot bear losing his mother, even as she arranges his marriage to a widow his age. Her grandson Kesa, who's girlfriend is pregnant, is selfishly happy to see Orin die. Around them, a family of thieves are dealt with severely, and an old man, past 70, whose son has cast him out, scrounges for food. Will Orin's loving and accepting spirit teach and ennoble her family?"
"[{""id"": 14, ""name"": ""Museums""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 10751, ""name"": ""Parks""}]",68728,Sitapur Beach,5.7,3530,Sitapur Beach,Andaman & Nicobar Islands,Beaches,"Camille, a mercurial César-winning actress, has seen better times. Estranged from her husband, she's with her children only every other weekend. It's her weekend, but her agent has booked her to MC a Rotary club dinner in Vichy. She takes them with her, and when her husband learns this, he demands to pick them up at once. She bolts in a rented car to the seaside, trying to improve her relations with the children, especially the precocious and distant Vincent. He loves astronomy. A rare meteor shower is due in a few days, so she suggests they go to a plateau in Spain hoping to see it. He agrees, but the relationship remains difficult, and her husband is on their trail."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}]",102382,Murugan Temple,6.5,4179,Murugan Temple,Andaman & Nicobar Islands,Points of Interest & Landmarks,
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",20526,Gandhi Park,6.3,2841,Gandhi Park,Andaman & Nicobar Islands,Parks,"At a Shanghai apartment, Mr Hou, a Nationalist official, gets ready to move to Taiwan upon the imminent defeat of the KMT during the Civil War. Mrs Hou gives an ultimatum to the rest of the tenants to move out on behalf of her husband, who is the ""owner"" of the flat and who is now planning to sell it. From the conversations with the rest, we find out that Hou has been a Hanjian during the Sino-Japanese War and that he has since taken over the apartment by force from the old landlord, Mr Kong.  The tenants, including Mr Kong, Mrs Xiao, Little Broadcast (alias Mr Xiao, played by Zhao Dan) and a schoolteacher, Mr Hua, and his wife, initially plan to band together, but circumstances force them to find other ways out. Mr Hua tries to find a place to stay at the KMT-sponsored school he is teaching in. Little Broadcast and Mrs Xiao invest in black market gold. As the situation escalates, Mr Hua gets arrested by KMT agents and his young daughter falls desperately ill."
"[{""id"": 16, ""name"": ""Points of Interest & Landmarks""}, {""id"": 10751, ""name"": ""Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 35, ""name"": ""Science Museums""}]",49013,Ferar Beach,5.8,2033,Ferar Beach,Andaman & Nicobar Islands,Beaches,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 53, ""name"": ""Historic Sites""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",44912,Viper Island,5.1,2487,Viper Island,Andaman & Nicobar Islands,Points of Interest & Landmarks,"Der Bewegte Mann is a German comedy about a heterosexual man, Axel, who is thrown out of his girlfriends home for cheating and ends up moving in with a gay man. Axel learns the advantages of living with gay men even though they are attracted to him and when his girlfriend wants him back he must make a tough decision."
"[{""id"": 16, ""name"": ""Points of Interest & Landmarks""}, {""id"": 10751, ""name"": ""Parks""}, {""id"": 35, ""name"": ""Science Museums""}]",10193,Neil Island Jetty,7.6,4597,Neil Island Jetty,Andaman & Nicobar Islands,Piers & Boardwalks,A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}, {""id"": 53, ""name"": ""Historic Sites""}]",534,Diglipur Beach,5.9,2463,Diglipur Beach,Andaman & Nicobar Islands,Beaches,A pregnant teen and her younger sister run away from foster homes and kidnap a woman whom they believe can help with the pregnancy.
"[{""id"": 28, ""name"": ""Nature & Parks""}]",168259,Rajiv Gandhi's Statue,7.3,4176,Rajiv Gandhi's Statue,Andaman & Nicobar Islands,Monuments & Statues,"Ten years into a marriage, the wife is disappointed by the husband's lack of financial success, meaning she has to work and can't treat herself and the husband finds the wife slovenly and mean-spirited: she neither cooks not cleans particularly well and is generally disagreeable. In turn, he alternately ignores her and treats her as a servant. Neither is particularly happy, not helped by their unsatisfactory lodgers. The husband is easily seduced by an ex-colleague, a widow with a small child who needs some security, and considers leaving his wife."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 18, ""name"": ""Islands""}, {""id"": 27, ""name"": ""Sacred & Religious Sites""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}, {""id"": 53, ""name"": ""Historic Sites""}]",72190,Veer Savarkar Park,6.7,5560,Veer Savarkar Park,Andaman & Nicobar Islands,Parks,"Three teenage brothers, gang-member Bobby, troubled mama's boy Alan and self-assured prankster Lex, reside in a downtrodden section of Glasgow, Scotland, circa 1968. But while Bobby and Alan are beginning to experience the power of raging hormones, the story focuses on Lex, who begins a downward spiral after he accidentally shoots the leader of Bobby's gang. Lex's cockiness and immaturity unfortunately prevent him from understanding the effect his subsequent crimes will have on both himself, and on those around him."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",127585,Forest Museum,7.5,6032,Forest Museum,Andaman & Nicobar Islands,Speciality Museums,"Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caeser."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",54138,Aberdeen Clock Tower,7.4,4418,Aberdeen Clock Tower,Andaman & Nicobar Islands,Points of Interest & Landmarks,"A man with an important business meeting finds himself having to take care of the carpool for the neighborhood school children when his wife gets sick. Stopping to get donuts for the kids, things go even more awry when he finds himself a victim of a robbery. However, the situation only gets worse as a desperate man who had been contemplating a bank robbery robs the robbers and takes the man and the kids hostage in their van as his truck is blocked by an armored car. The thing then proceeds into a comedic chase movie. The father finds his kids don't really respect him and they react better to the robber. The end result is everyone gets a lifestyle change, including the original store owner."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 10751, ""name"": ""Parks""}, {""id"": 14, ""name"": ""Museums""}]",81005,Science Centre,5.5,2598,Science Centre,Andaman & Nicobar Islands,Science Museums,"A reserved man in need of a job, Carl Fitzgerald finds employment at a Greek restaurant. Upon meeting waitress Sophie, Carl begins dating the attractive woman. Though it seems things are improving for Carl, an unexpected situation leads to the death of Mustafa, a shady coworker, and Carl must figure out how to cover up the incident. Unsure of what to do, Carl enlists the help of his buddy, Dave, to get rid of Mustafa's corpse."
"[{""id"": 18, ""name"": ""Islands""}, {""id"": 10749, ""name"": ""Shopping""}]",64682,Sea Link Adventure India Pvt Ltd,7.3,3769,Sea Link Adventure India Pvt Ltd,Andaman & Nicobar Islands,Ferries,"Robert Altman's story is a riff on race, class, and power cross-cuts between the two kidnappings and the background of corrupt politics and virtuoso jazz music. It all takes place in Kansas City in 1934."
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 10749, ""name"": ""Shopping""}]",9543,Sippighat Farm,6.2,2317,Sippighat Farm,Andaman & Nicobar Islands,Farms,Two fishing fanatics get in trouble when their fishing boat gets stolen while on a trip.
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}, {""id"": 12, ""name"": ""Sights & Landmarks""}]",68726,Mini-Zoo,6.7,4794,Mini-Zoo,Andaman & Nicobar Islands,Zoos,A pair of lovers have no idea that their affair is overseen and orchestrated by an angel sent by Cupid to see that they remain together in this romantic comedy.
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}, {""id"": 12, ""name"": ""Sights & Landmarks""}]",38356,Indira Point,6.1,3299,Indira Point,Andaman & Nicobar Islands,Points of Interest & Landmarks,"The film focuses on three city folks who unknowingly share the same apartment: Mei, a real estate agent who uses it for her sexual affairs; Ah-jung, her current lover; and Hsiao-ang, who's stolen the key and uses the apartment as a retreat."
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 28, ""name"": ""Nature & Parks""}]",217,Chidiyatapu Biological Park,5.7,2495,Chidiyatapu Biological Park,Andaman & Nicobar Islands,Nature & Wildlife Areas,"Beautiful, detached, laconic, consumptive Lily Brest is a streetwalker with few clients. She loves her idle boyfriend Raoul who gambles away what little she earns. The town's power broker, called the rich Jew, discovers she is a good listener, so she's soon busy. Raoul imagines grotesque sex scenes between Lily and the Jew; he leaves her for a man. Her parents, a bitter Fascist who is a cabaret singer in drag and her wheelchair-bound mother, offer no refuge. Even though all have a philosophical bent, the other whores reject Lily because she tolerates everyone, including men. She tires of her lonely life and looks for a way out. Even that act serves the local corrupt powers."
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 16, ""name"": ""Points of Interest & Landmarks""}, {""id"": 10751, ""name"": ""Parks""}]",105864,Ram Nagar Beach,6.6,1736,Ram Nagar Beach,Andaman & Nicobar Islands,Beaches,"Carl Panzram is sent to Leavenworth Prison for burglary. While there, he is brutally beaten by a guard. Neophyte guard Henry Lesser feels sympathy for Panzram, befriends him, and gets him to write his life story. Lesser learns that Panzram's past is much more violent than he thought, but also that he's capable of being a much better person than the rest of the prison staff believes - or so Lesser thinks."
"[{""id"": 16, ""name"": ""Points of Interest & Landmarks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 35, ""name"": ""Science Museums""}, {""id"": 10751, ""name"": ""Parks""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 14, ""name"": ""Museums""}]",62177,Dekho Andaman,6.7,4641,Dekho Andaman,Andaman & Nicobar Islands,Islands,"A young street fighter seeks revenge against a powerful drug lord who killed his entire family. Using of his many special combat skills, he's about to take down a whole criminal operation, reaching his goal whatever the consequences."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",188927,Police Gurudwara,6.6,2568,Police Gurudwara,Andaman & Nicobar Islands,Sacred & Religious Sites,"As a crime wave sweeps through Hong Kong, the police call Jessica Yang (Yeoh), a rising star in the ranks, to help stop a notorious gang of thieves! What Jessica doesn't realize is that her boyfriend - recently discharged from the force - is the leader of this ruthless crime ring!"
"[{""id"": 16, ""name"": ""Points of Interest & Landmarks""}, {""id"": 10751, ""name"": ""Parks""}]",10681,Stella Maris Cathedral,7.8,6296,Stella Maris Cathedral,Andaman & Nicobar Islands,Churches & Cathedrals,"Four women, Patti, Emma, Angela, and Nicki are completing their last year of high school. Unfortunately for the group, one of their own, Nicki, unexpectedly commits suicide. The three remaining women, upon finding out that Nicki had been raped before she died, begin to talk to each other about the ways in which they are oppressed by the men in their lives. They begin to fight together, taking revenge on Emma's rapist, Patti's abusive ex-boyfriend, and finally, Nicki's rapist."
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 35, ""name"": ""Science Museums""}, {""id"": 80, ""name"": ""Beaches""}, {""id"": 53, ""name"": ""Historic Sites""}]",5174,South Button National Park,6.1,783,South Button National Park,Andaman & Nicobar Islands,Nature & Wildlife Areas,"In Paris, Ismaél, a young Tunisian, cares for two brothers, Nouredine, a cripple, and streetwise Mouloud, 14. In haste, Ismaél and Mouloud go to Marseilles where an uncle lives. Nouredine has died in a fire, and Ismaél feels guilt on top of grief. Ismaél becomes friends with Jacky, a white man whose father and brother hate immigrants. Mouloud hangs out with cousin Rhida who breaks Islamic rules and deals hash. Ismaél decides Mouloud must return to Tunisia, but the boy runs off, becoming an acolyte to Rhida's supplier. Ismaél and Jacky's Arab girlfriend start an affair, friends betray friends, and the racism gets ugly. Can Ismaél rescue himself and Mouloud or will life in France crush them?"
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",14161,Little Andaman Island,5.6,4903,Little Andaman Island,Andaman & Nicobar Islands,Islands,"A researcher at Chicago's Natural History Museum returns from South America with some crates containing his findings. When the crates arrive at the museum without the owner there appears to be very little inside. However, police discover gruesome murders on the cargo ship that brought the crates to the US and then another murder in the museum itself."
"[{""id"": 16, ""name"": ""Points of Interest & Landmarks""}, {""id"": 18, ""name"": ""Islands""}]",17979,Kalapani Museum,6.6,1095,Kalapani Museum,Andaman & Nicobar Islands,History Museums,A shipwrecked sailor stumbles upon a mysterious island and is shocked to discover that a brilliant scientist and his lab assistant have found a way to combine human and animal DNA with horrific results.
